© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
forskolin	chemical toxicant	5.72E-03	ACTR2,ARHGAP1,ARPC1A,AXL,B4GALT1,BAG1,BAG3,BAX,BCL2,BCL2L11,CALM1 (includes others),CALR,CRYAA/LOC102724652,CRYAB,CTBP1,DDIT3,FKBP5,FOXO1,GALNT14,HAS2,HAS3,HSPA1A/HSPA1B,HSPA2,IGF1R,ITPR1,ITPR2,ITPR3,LARGE1,MAP3K5,MGAT3,PGRMC1,PLIN3,PPIH,PSMD3,PTPN1,RAB20,RAB27A,RAB31,RAB33B,RAB4A,RAB5A,RAB5C,RAB7A,SNAP25,ST8SIA2,TMBIM6,TMX1,TP53	379 (12)
prednisolone	chemical drug	5.87E-03	AKT1,ATG5,ATG7,BAG1,BAG3,BAK1,BAX,BCL2,BECN1,CSNK1D,DAD1,EIF2AK3,FKBP5,HSP90AA1,HSPA8,MAPK8,PIK3C3,RAB24,TP53,ULK1	278 (9)
YWHAZ	enzyme	5.89E-03	ATF4,ATF6,HSP90B1,HSPA5,TP53,XBP1	423 (13)
n-nitrosomethylbenzylamine	chemical toxicant	5.98E-03	ACTR2,AP3S1,ARPC2,BAX,COPS5,HSP90AA1,PSMA6,RAB1A,RAD23B,TMED2,UBXN4,USO1,USP14	 
methylselenic acid	chemical reagent	6.12E-03	AKT1,AKT2,B4GALT1,DDIT3,DNAJB9,DNAJC3,ERP44,FKBP5,HSP90B1,IGF1R,MAPK8,MAPK9,NEDD4L,PDIA4,RAB28,RAB29,RAB31,SEC24D,STX1A,STX7	367 (7)
IND S7	chemical - kinase inhibitor	6.14E-03	COPS8,ERP29,HSPA1A/HSPA1B,PDIA3,PSMA1	 
epirubicin	chemical drug	6.14E-03	BAX,BCL2,OTUB1,TNFRSF10B,TP53	286 (9)
PI-103	chemical drug	6.30E-03	BCL2,BCL2L11,MTOR,TNFRSF10B	142 (3)
SLC37A4	transporter	6.30E-03	BECN1,DDIT3,HSPA5,PIK3C3	45 (5)
levodopa	chemical - endogenous mammalian	6.54E-03	ARAF,ARAP1,ATP2A2,ATP2A3,AXL,B3GALT5,BAX,BCL2,C1GALT1C1,CAPN10,CHST11,CHST8,CNIH3,CYTH4,DDOST,DGAT2,FKBP5,FOXO1,GET1,GLB1,GPS1,HEXA,HEXB,HS6ST2,MICAL1,MYO5B,NEDD4L,RAB13,RAB3D,RAB8A,SIAH2,SORCS2,SRPRB,ST3GAL5,ST8SIA3,TMED10,TP53,TRAPPC1,TRIM25,UBQLN4,UBXN6,VAMP1,VTI1B	85 (3)
ionomycin	chemical reagent	6.56E-03	ATP2A2,ATP2A3,B3GAT1,BCL2,BECN1,BTK,DDIT3,DNAJC3,EIF2AK2,HSPA4,HSPA5,ITPR2,ITPR3,KCNN2,MAPK8,PTPN1,RAB10	374 (14)
TP63	transcription regulator	6.67E-03	ADRM1,AGR2,AKT1,ARAF,ATG5,ATG7,ATXN3,AXL,BAX,BCL2L11,BECN1,CAPN12,CAPN2,CAPN6,CAPN9,CAPNS1,CRYAB,DNAJB1,FUCA1,FUT1,GCNT3,HAS3,HSP90AA1,HSPA1A/HSPA1B,HSPA4,HSPA8,KIF23,MAN2A1,MAPK8,P4HB,PAK1,PIK3CA,PSMB10,ROCK1,ST8SIA6,STX1A,STX6,TMBIM6,TNFRSF10B,TP53,TRIM22,TRPV4,ULK1,VAMP4	197 (5)
IFNG	cytokine	6.71E-03	ARAP2,ARFGAP3,ATF4,ATG5,ATP2A2,BAK1,BAX,BCL2,BCL2L11,BECN1,CAPN1,CAPN3,CHST11,CHST3,CHST7,CHST8,DDIT3,DNAJB7,EIF2A,EIF2AK2,EIF2AK3,EXT1,FKBP1A,FKBP5,FKBP6,FOXO1,FURIN,GAL3ST1,GGA1,HAS2,HMGCR,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA1L,HSPA5,HSPA8,HSPB1,IGF1R,IRS1,ITPR1,KIF23,LARGE1,LGALS9,MAN2A1,OPTN,PML,POMP,PPIA,PSD2,PSMA2,PSMA4,PSMA6,PSMB10,PSMB2,PSMB8,PSMB9,PSME1,PSME2,PSME3,PTPN1,RAB12,RAB17,RAB20,RAB27A,RAB36,RAB38,RAB3C,RACK1,SEC11A,SEC61A1,SERP1,SERPINH1,SNAP25,SRP54,ST6GAL1,ST6GALNAC4,STX11,STX3,TAPBP,TBC1D10A,TNFRSF10B,TP53,TRIM21,TRIM22,TRIM8,UBE2D1,UBE2E1,UBE4B,USP6NL	310 (11)
CLDN7	other	6.94E-03	ASAP1,B4GALNT1,CKAP4,DNAJB6,DPM3,ITPR3,MLEC,PSMG2,SERP1,SLC35B1,SYTL2,XXYLT1	 
FGF21	growth factor	7.08E-03	ATF6,BCL2,DDIT3,DGAT1,DGAT2,ERN1,HSPA5,ITPR1,XBP1	163 (4)
BAP1	peptidase	7.16E-03	ATF4,DDIT3,HSPA5,TNFRSF10B,XBP1	 
deoxynivalenol	chemical toxicant	7.16E-03	ATF6,DNAJC3,ERN1,HSPA5,XBP1	34 (4)
IL5	cytokine	7.32E-03	ATF4,BCL2,CHST12,CKAP4,ERO1A,HMGCR,HSP90B1,HSPA5,HSPA6,HSPH1,LFNG,PDIA6,PPIF,PRDX4,PSMB4,QSOX1,RAB21,RPN1,SDF2L1,SNAP23,SPCS2,XBP1	220 (7)
potassium chloride	chemical drug	7.39E-03	BCL2L11,CALR,DDIT3,EIF2AK3,HERPUD1,HSP90B1,HSPA5,PDIA3,PDIA4,RYR2,TRPV6,XBP1	305 (9)
VOLTAGE-GATED CALCIUM CHANNEL (complex)	complex	7.47E-03	ITPR1,ITPR2,ITPR3	 
miR-125b-2-3p (and other miRNAs w/seed CAAGUCA)	mature microRNA	7.47E-03	BAK1,BAX,TP53	 
deoxypodophyllotoxin	chemical reagent	7.47E-03	BAK1,BAX,BCL2L11	 
NCK1	kinase	7.47E-03	ATF4,DDIT3,HSPA5	135 (6)
RPS6KB2	kinase	7.47E-03	BCL2,IRS1,TP53	196 (5)
S100A16	other	7.47E-03	BAX,CSNK1A1,SYVN1	 
TERF2	transcription regulator	7.47E-03	GLB1,HS3ST4,TP53	 
acetazolamide	chemical drug	7.47E-03	DDIT3,EIF2AK3,HSPA5	 
ebastine	chemical drug	7.47E-03	ATG7,BECN1,ULK1	 
beta-hydroxyisovaleric acid	chemical - endogenous mammalian	7.47E-03	PSMB3,PSMC2,PSMC6	 
10-hydroxycamptothecin	chemical - endogenous mammalian	7.47E-03	AKT1,BAX,BCL2	 
N-Ac-Leu-Leu-norleucinal	chemical - protease inhibitor	7.67E-03	ATF4,ATF6,BAX,BCL2L11,CASP12,DDIT3,ITPR2,ITPR3,TP53	322 (12)
oridonin	chemical drug	7.72E-03	BAX,BCL2,BECN1,EIF2AK3	48 (3)
melphalan	chemical drug	7.72E-03	BAX,BCL2L11,TNFRSF10B,TP53	165 (5)
EIF2AK4	kinase	7.88E-03	ATF4,ATG5,ATG7,ATP2A2,BCL2,DDIT3,DGAT1	87 (3)
chrysotile asbestos	chemical toxicant	8.30E-03	DNAJC3,HSP90B1,HSPA5,PDIA4,TP53	 
GSK3 (family)	group	8.30E-03	ATF4,BCL2,BCL2L11,DDIT3,HMGCR,IGF1R,IRS1,TNFRSF10B,TP53	364 (14)
L-cystine	chemical - endogenous mammalian	8.30E-03	ATF4,CHST11,CHST12,CHST7,DDIT3,GAL3ST4,HS2ST1,HS3ST5,HSPA1A/HSPA1B	 
cytarabine	chemical drug	8.33E-03	ATG5,BAX,BCL2,BCL2L11,BECN1,ITPR2,TNFRSF10B,TP53	202 (8)
fatty acid	chemical - endogenous mammalian	8.35E-03	AKT1,ATF6,ATG7,BAX,BCL2,DDIT3,DGAT1,HSPA5,IRS1,PLIN2,ST3GAL5,TNFRSF10B	372 (16)
arginine	chemical - endogenous mammalian	8.49E-03	ATF4,AXL,BCL2,DDIT3,HSPA5,XBP1	375 (14)
PC-SPES	chemical drug	8.57E-03	DAD1,DNAJB1,HERPUD1,HSP90AA1,HSPA5,HYOU1,MAN2A1,OGT,P4HB,QSOX1	 
SIRT1	transcription regulator	8.73E-03	ACAP1,AKT1,ATP2A3,BAX,BCL2,BECN1,CTBP1,DDIT3,EDEM1,EIF2A,EIF2AK3,ERO1A,FOXO1,HMGCR,HSP90AA1,HSPA4,HSPA5,IGF1R,MGAT1,MGAT2,MTOR,NEDD4L,PIK3C3,PML,PSMB9,ROCK1,SEC61A1,TBC1D10C,TNFRSF10B,TP53,TSG101,UBA7	377 (13)
interferon beta-1a	biologic drug	8.87E-03	ALG5,ARHGEF6,CCT4,CCT6A,COPS5,DNAJA1,DNAJB1,FKBP15,FKBP1A,PPIA,PSMB8,PSME1	 
TSC1	other	8.95E-03	AGA,BAX,BCL2,CRYAB,DDIT3,FOXO1,HEXA,HEXB,IRS1,ITPR1,NEU1,PKD1,RYR3,TP53	298 (10)
RNF187	enzyme	8.97E-03	ALG10B,BAX,MAN2B1,PML,SLC33A1,TNFRSF10B,TP53,TRIM22,ULK1	200 (6)
CD40LG	cytokine	9.05E-03	A4GALT,ALG3,AXL,BAK1,BAX,BCL2,EIF2A,EIF2AK2,EIF2S1,FURIN,HSP90AA1,HSPA1A/HSPA1B,LMAN2,NCOA3,NET1,PML,PPIL2,PSMA2,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PSMG1,PTPN1,RAB9A,RNF5,TP53	324 (11)
pyridostatin	chemical reagent	9.08E-03	EIF2AK2,PSMB8,PSMB9,PSME1,TRIM21,TRIM25,TRIM5,UBA7	 
SELENOS	other	9.32E-03	ATF6,DDIT3,HSPA5,XBP1	143 (4)
miR-296-5p (miRNAs w/seed GGGCCCC)	mature microRNA	9.32E-03	AKT1,BAX,BCL2,TP53	47 (3)
pyruvic acid	chemical - endogenous mammalian	9.32E-03	BAX,BCL2,TNFRSF10B,TP53	231 (11)
5-hydroxytryptamine	chemical - endogenous mammalian	9.41E-03	AP1M1,ARHGEF1,ARPC4,COPE,MTOR,PLIN3,RAB8A,STX4,STX5,TRPV1,VAMP3,VTI1A	163 (4)
NPC1	transporter	9.43E-03	ATF4,ATG7,CTSA,DDIT3,HMGCR,ITPR1,MTOR,RAB7A,VPS16,VPS33A,VPS39,VPS41,VTI1B,XBP1	221 (5)
SNCA	enzyme	9.51E-03	ARFGAP3,BAX,BCL2L11,C1GALT1C1,CHMP4B,CNIH2,COLGALT2,DDIT3,DIPK1C,DNAJB9,FAM20C,FURIN,GANAB,HSP90B1,HSPA5,MICAL1,MTOR,MYO5B,NEU4,PDIA5,PRKN,PSD,PSMA3,PSMB9,RAB3A,SNAP25,SORCS1,SORCS3,STX1B,SURF4,TP53,UBE2G2	334 (14)
EIF2B5	translation regulator	9.55E-03	ATF4,DDIT3,HSPA12A,HYOU1,PPP1R15B	 
streptozocin	chemical drug	9.58E-03	AKT1,ATF4,ATF6,BAX,BCL2,BECN1,DDIT3,DGAT1,EIF2AK3,ERN1,FOXO1,HSPA5,IGF1R,IRS1,MAP3K5,MAPK8,MAPK9,MTOR,OGT,PIK3C3,PIK3CA,STUB1,TP53,TRPV1,XBP1	447 (17)
ABCB1	transporter	9.59E-03	BAX,BCL2,CTSA,TP53,UGCG,USP19,VPS16	145 (3)
EPAS1	transcription regulator	9.62E-03	ATG5,AXL,BCL2,CHMP2B,DDIT3,DGAT1,DGAT2,GAL3ST1,GLB1,HSPA4,HSPA5,ITPR1,NEU3,PIK3CA,PLIN2,PLOD2,RAB27B,SCAP,TP53,TRIM21	 
FLT1	kinase	9.67E-03	ACTR2,CANX,CAPN2,CSNK2A1,CTBP1,PREB,SNAP23,TNFRSF10B,UBE4B	 
I-BRD9	chemical reagent	9.95E-03	RAB27A,RAB32,RAB38	 
AGRP	other	9.95E-03	PSMA1,PSMA2,PSMA4	 
venetoclax	chemical drug	9.95E-03	BAX,BCL2,TP53	47 (3)
CNB-001	chemical reagent	9.95E-03	ATF4,DDIT3,HERPUD1	214 (5)
rabeprazole	chemical drug	9.95E-03	ATF6,EIF2AK3,ERN1	 
MKNK1	kinase	1.02E-02	AP3D1,BAG3,GPS1,HS6ST2,HSPA2,HSPA4L,MAN2A1,RAB14,RAB3A,SERPINH1,SNAP25,TBC1D30,TMBIM6,USO1,VAMP2	 
testosterone	chemical - endogenous mammalian	1.02E-02	ARAF,ARF5,ATF6,ATP2A2,BAX,BCL2,BNIP1,DDIT3,EIF2AK3,EIF2S1,FOXO1,HMGCR,HSP90AB1,HSPA1A/HSPA1B,HSPA5,IGF1R,IRS1,PDIA4,PSMA1,PSMA2,PSMB1,PSMC3,RAB2A,SLC35A3,STX3,TP53,UGT8,XBP1	 
ML264	chemical reagent	1.04E-02	BAX,BCL2	 
SMAD3/SMAD4 (complex)	complex	1.04E-02	BAX,BCL2L11	 
tozasertib	chemical drug	1.04E-02	BAX,TP53	 
EIF2S1:EIF2S2:EIF2S3	complex	1.04E-02	ATF4,DDIT3	 
MYOT	other	1.04E-02	ATG5,ATG7	 
Pif	other	1.04E-02	PSMB3,PSMC6	 
EIF2 (complex)	complex	1.04E-02	EIF2AK2,HSPA5	 
GGA1	transporter	1.04E-02	GGA2,GGA3	 
miR-153-3p (miRNAs w/seed UGCAUAG)	mature microRNA	1.04E-02	BCL2,FOXO1	 
crocin	chemical drug	1.04E-02	HSPA5,XBP1	 
beta,beta-dimethylacrylshikonin	chemical reagent	1.04E-02	BAK1,BCL2	 
GGA3	transporter	1.04E-02	GGA1,GGA2	 
ASAH2	enzyme	1.04E-02	DDIT3,EIF2A	 
RNASEH1	enzyme	1.04E-02	GPAA1,PSMB4	 
PIGT	enzyme	1.04E-02	GPAA1,PIGK	 
FER	kinase	1.04E-02	B4GAT1,LARGE1	 
LDB2	transcription regulator	1.04E-02	BAX,BCL2	 
LGALS2	other	1.04E-02	BAX,BCL2	 
GNPAT	enzyme	1.04E-02	UGCG,UGT8	 
MRS2211	chemical reagent	1.04E-02	BAX,BCL2	 
triacsin C	chemical reagent	1.04E-02	BCL2,PLIN2	 
kenpaullone	chemical reagent	1.04E-02	DDIT3,TNFRSF10B	 
MITF	transcription regulator	1.08E-02	AP1B1,AP1G1,AP1S1,AP1S2,AP3D1,BCL2,CAPN3,CCNF,GNPTAB,KCNN2,KIF20A,MGAT4B,MICAL1,NDST2,RAB27A,RAB7A,ST3GAL6,STX7,TBC1D16,TP53	 
MTOR	kinase	1.08E-02	ATG5,ATG7,ATP2A2,BCL2,BCL2L11,CLTC,DDIT3,FKBP1A,HSP90AB1,HSP90B1,HSPB1,HSPH1,IQSEC2,IRS1,MICAL1,MTOR,PGRMC1,PPIB,PSMB5,RAB11B,RAB4A,SEC22B,ST6GAL1,STX12,TP53,UGGT1	 
SCH 58261	chemical reagent	1.09E-02	AKT2,ARHGEF7,CCT5,LMAN1,TPST1	 
stearic acid	chemical - endogenous mammalian	1.09E-02	BAK1,BCL2,BCL2L11,DDIT3,PLIN2	 
ceramide	chemical - endogenous mammalian	1.09E-02	BAX,BCL2,NAT8,NAT8B,TP53	 
SP100	transcription regulator	1.11E-02	HSPA1L,HSPA6,HSPA8,HSPB8	 
PLCL1	enzyme	1.11E-02	BCL2,BCL2L11,MTOR,ULK1	 
CREB3L1	transcription regulator	1.11E-02	AGR2,CHST12,HSP90B1,HSPA5	 
GF 120918	chemical reagent	1.11E-02	CTSA,TP53,USP19,VPS16	 
elovanoid N34	chemical - endogenous mammalian	1.11E-02	ATG5,ATG7,BECN1,TP53	 
tamoxifen	chemical drug	1.16E-02	AGR2,ATF4,BAX,BCL2,BECN1,DDIT3,DNAJA1,HAS2,HMGCR,HSP90AB1,HSP90B1,HSPA5,IRS1,PSMA5,PSMA7,PSMB4,PSMB5,PSMC2,PSMC3,PSMC6,PSMD11,PSMD14,PSMD2,PSMD4,TP53,UGCG	 
MAP2K4	kinase	1.16E-02	BCL2,MAPK8,MAPK9,PAK1,ROCK1,ROCK2,TP53	 
USP8	peptidase	1.16E-02	CALR,CANX,PSMB10,PSMB6,PSMB7,PSMB8,PSMB9,TAPBP	 
NR3C2	ligand-dependent nuclear receptor	1.18E-02	ARPC2,BAX,BCL2,FKBP1A,FKBP1B,FKBP4,FKBP5,HSPA9,IGF1R,PPIB,PRDX4,ST3GAL3,TP53	 
cilostazol	chemical drug	1.18E-02	ATF6,BAX,BCL2,EIF2AK3,ERN1,HSPA5	 
GPR174	G-protein coupled receptor	1.20E-02	ARAP2,B3GNT7,BCL2L11,CHST3,CYTH1,ST6GAL1,TRIM11,TRIM25,UGCG,VPS37B	 
LIPE	enzyme	1.24E-02	BAX,BCL2,DDIT3,DGAT2,FKBP5,HSPA1A/HSPA1B,HSPA5,NET1,PLIN2,PLIN3,ST3GAL5,ST8SIA4,VAMP7	 
SFLLRN (PAR1-activator)	chemical reagent	1.24E-02	ERP29,HSPA5,HSPB1,PSMB3,UBE2N	 
PLAG1	transcription regulator	1.26E-02	BCL2,CHST1,CLTB,PIGF,PPIC,QSOX1,STX1A	 
ZAP70	kinase	1.26E-02	BCL2L11,FKBP5,HS2ST1,HSP90AA1,ITPR1,SRP14,SSR4	 
IL4	cytokine	1.28E-02	ADRM1,ALG3,ATP2A1,B4GALNT1,B4GALT7,BAX,BCL2,CCT3,CHST3,CHST7,CKAP4,CLTC,CYTH1,DGAT2,DPAGT1,EEA1,EIF2AK2,EIF2S1,EVI5,EXT1,FAM20B,FKBP5,FURIN,FUT7,GPLD1,HMGCR,HSPA1A/HSPA1B,IGF1R,LFNG,LGALS9,LMAN2,MAP3K5,MTOR,NCOA3,PLIN2,PLOD2,PRKN,PSMA2,PSMA6,PSMB10,PSMB6,PSMB8,PSMB9,PSME1,PSMG1,PTPN1,QSOX1,RAB30,RAB35,RAB5A,RNF5,SDF2L1,SEC24A,SEC31A,SORCS2,ST3GAL3,ST6GAL1,STUB1,TAPBP,TBC1D17,TMED5,TMED8,TP53,TRIM21,TRIM22,TRIM25,TRIM5,TRPV2,UBR4,UGGT1,USO1,VTI1A,XBP1	 
naringin	chemical - endogenous non-mammalian	1.29E-02	BAK1,BAX,BCL2	 
menthol	chemical drug	1.29E-02	BAX,BCL2,ROCK2	 
EHD2	other	1.29E-02	NSFL1C,SNAP23,STX4	 
penfluridol	chemical drug	1.29E-02	DDIT3,HSPA5,ROCK1	 
miR-192-5p (and other miRNAs w/seed UGACCUA)	mature microRNA	1.29E-02	BAX,BCL2,TP53	 
esomeprazole magnesium	chemical drug	1.29E-02	ATF6,EIF2AK3,ERN1	 
quinacrine	chemical drug	1.29E-02	BAX,BCL2,TP53	 
orlistat	chemical drug	1.29E-02	ATF4,DDIT3,HSPA5	 
astragaloside IV	chemical - endogenous non-mammalian	1.29E-02	BAX,BCL2,TP53	 
androstenediol	chemical - endogenous mammalian	1.29E-02	BAX,BCL2,FKBP5	 
letrozole	chemical drug	1.31E-02	AGR2,BAX,BCL2,MTOR,NCOA3,TP53	 
prostaglandin A1	chemical - endogenous non-mammalian	1.32E-02	BCL2,HSPA1A/HSPA1B,HSPA4,TP53	 
OPA1	enzyme	1.32E-02	ATF4,DDIT3,HSPA5,XBP1	 
Abcb1b	transporter	1.32E-02	CTSA,TP53,USP19,VPS16	 
MTM1	phosphatase	1.32E-02	BECN1,IGF1R,MTOR,NEDD4L	 
IND S1	chemical - kinase inhibitor	1.32E-02	COPS8,HSPA1A/HSPA1B,PDIA3,PSMA1	 
2,3 butanedione monoxime	chemical drug	1.32E-02	ATP2A2,CALR,RYR2,RYR3	 
calcimycin	chemical reagent	1.32E-02	ATP2A2,BCL2L11,CALR,DDIT3,HERPUD1,HSP90B1,HSPA5,PDIA2,SDF2L1,TP53,UBXN4	 
arsenite	chemical toxicant	1.32E-02	ATF4,DDIT3,HAS2,HS6ST2,HSPA1A/HSPA1B,HSPA4L,HSPA9,HSPB1,NAPB,ST8SIA5,TP53	 
CALMODULIN (family)	group	1.38E-02	ARPC5,BCL2,GALNT9,NSF,RAB40B,STX1A,VAMP1	 
AR	ligand-dependent nuclear receptor	1.44E-02	ACTR3,AKT1,ALG14,ALG5,ARHGEF7,ATP2A1,ATP2A2,B4GALNT1,B4GALT6,BCL2,BCL2L11,CAPN10,CASQ1,CASQ2,CCT3,CKAP4,CLGN,DERL3,DNAJB9,ERN1,ERO1A,EXTL2,FKBP4,FKBP5,FOXO1,HMGCR,HS6ST2,HSPA5,HSPH1,IGF1R,ITPR2,KDELR2,LMAN1,MARCHF6,MICALL2,PAK1,PDIA5,PIGA,PLOD2,POMT2,RAB3C,RAB4A,SCAP,SEC61B,SERP1,TRIM25,XBP1	 
lenalidomide	chemical drug	1.45E-02	CAPN1,CSNK1A1,DNAJC5B,ERN1,EXTL2,FKBP11,GALNT18,HS3ST3B1,HSPA5,ITPR1,MAN1C1,PLOD2,PPIF,RYR1,SEC24A,SEL1L,TNFRSF10B,TRAPPC3L,XBP1	 
NKX2-3	transcription regulator	1.45E-02	AGAP3,CHST7,CRYAB,EIF2AK2,EXOC6,FBXO6,GALNT15,GET1,MFNG,PSMB8,PSMB9,TRIM21,TRIM22,TRIM5,TXNDC12,UBA7,UBE4B	 
IFNAR2	transmembrane receptor	1.45E-02	PSMB10,PSMB8,PSMB9,PSME2,TRIM22,UBA7	 
SGPL1	enzyme	1.50E-02	BAX,BCL2,DDIT3,HSPA5,ITPR3,SEC61A1,UGCG	 
IGG1 (complex)	complex	1.54E-02	BAX,BCL2,CHMP3,PDIA3	 
miR-214-3p (and other miRNAs w/seed CAGCAGG)	mature microRNA	1.54E-02	ATF4,ATP2A2,BECN1,RAB14	 
TNFRSF13B	transmembrane receptor	1.54E-02	BAX,BCL2,BCL2L11,XBP1	 
mir-21 (includes others)	microRNA	1.55E-02	ARCN1,ARF4,ARF6,BAX,BCL2,CANX,CCT8,CLPB,COPG1,CSNK2A2,EIF2S1,GGA3,KIF23,MTOR,PLOD3,PSMB5,PSME2,RNF19A,SSR1,TBC1D1,TBC1D23,TP53,UBA7,UBE2E2,UBE2G1	 
IRF2	transcription regulator	1.55E-02	ARCN1,BCL2,DNAJB6,EIF2AK2,PSMB10,PSMB8,PSMB9,PSME1,PSME2,RRBP1,TAPBP,TRIM21	 
HNF1A	transcription regulator	1.57E-02	AP3M1,B3GALT5,BAG6,FBXO8,FMO1,FUT10,FUT11,FUT3,FUT5,FUT6,FUT7,FUT8,FUT9,GCNT1,GCNT3,HMGCR,HSPA1A/HSPA1B,HSPA5,IGF1R,KIF20A,NAPA,NBR1,PSMA5,RAB33B,RAB37,RAB3A,RACK1,SEL1L,TMED10,TMED6,TRAPPC13,TXNDC12,VAMP2,XBP1	 
propofol	chemical drug	1.60E-02	BAX,BCL2,BECN1,NET1,TP53,TRIM21	 
D-alpha-tocopheryl succinate	chemical reagent	1.62E-02	BCL2,MAPK8,TP53	 
ANG	enzyme	1.62E-02	BAX,BCL2,TP53	 
miR-532-3p (miRNAs w/seed CUCCCAC)	mature microRNA	1.62E-02	AKT1,MAP3K5,PSMD10	 
TCF3	transcription regulator	1.64E-02	AP3B1,AP3D1,ARAF,BCL2L11,CKAP4,EDEM1,FKBP11,FOXO1,GPLD1,HS3ST1,HSP90B1,HSPA13,HYOU1,OPTN,PDIA4,PDIA6,PML,PPIA,PRDX4,RAB33A,SDF2L1,SEC11C,SEC24D,SLC35B1,SPCS2,ST8SIA1,TXNDC5,XBP1	 
SIRT6	enzyme	1.65E-02	AKT1,AKT3,ALG12,FOXO1,HMGCR,IGF1R,MTOR,PIGA,PIGC,PLIN2,PLIN3	 
A-485	chemical reagent	1.68E-02	ATG7,BECN1	 
Gm2694	other	1.68E-02	ATF6,HSPA5	 
Airn	other	1.68E-02	MTOR,PRKN	 
ETHE1	enzyme	1.68E-02	BAX,TP53	 
LAPTM4B	other	1.68E-02	BAX,BCL2	 
SHOC2	other	1.68E-02	BAX,BCL2	 
FARSA	enzyme	1.68E-02	ALG10,ALG10B	 
farletuzumab	biologic drug	1.68E-02	BECN1,MTOR	 
NCK2	kinase	1.68E-02	ATF4,DDIT3	 
RNF34	enzyme	1.68E-02	BCL2,TP53	 
miR-1285-3p (and other miRNAs w/seed CUGGGCA)	mature microRNA	1.68E-02	AKT2,TP53	 
miR-378a-5p (miRNAs w/seed UCCUGAC)	mature microRNA	1.68E-02	BAX,BCL2	 
KCND2	ion channel	1.68E-02	BAX,TP53	 
TNK2	kinase	1.68E-02	SIAH1,SIAH2	 
CEL	enzyme	1.68E-02	BAX,TP53	 
HERPUD1	other	1.68E-02	DDIT3,HERPUD1	 
C8orf44-SGK3/SGK3	kinase	1.68E-02	ATF4,DDIT3	 
Sacs	other	1.68E-02	CASQ2,ITPR1	 
APPL1	other	1.68E-02	SNAP25,VAMP2	 
DDT	enzyme	1.68E-02	BAX,TP53	 
OTUD5	enzyme	1.68E-02	MTOR,PRKN	 
JV-1-65 hGHRH(1-29)NH2	chemical reagent	1.68E-02	IGF1R,TP53	 
MI-773	chemical drug	1.68E-02	BCL2L11,TP53	 
phenformin	chemical drug	1.68E-02	ATF4,XBP1	 
TH1834	chemical reagent	1.68E-02	BAX,TP53	 
1-Naphthalenesulfonyl-IW-CHO	chemical - protease inhibitor	1.68E-02	BECN1,TP53	 
pergolide	chemical drug	1.68E-02	BAX,TP53	 
azelaic acid	chemical - endogenous mammalian	1.68E-02	BAX,BCL2	 
N-acetylglucosaminono-1,5-lactone O-(phenylcarbamoyl)oxime	chemical reagent	1.68E-02	HSPA4,OGT	 
acetyl-11-keto-beta-boswellic acid	chemical reagent	1.68E-02	DDIT3,TNFRSF10B	 
hexamethylene bisacetamide	chemical reagent	1.76E-02	BCL2,FUT8,HSPA8,RACK1,SIAH1,TCP1	 
mercuric chloride	chemical toxicant	1.78E-02	DDIT3,HSP90AA1,HSPA1A/HSPA1B,HSPA9,HSPB1	 
TRPV1	ion channel	1.79E-02	MTOR,PRKN,TP53,TRPV1	 
MAP3K5	kinase	1.79E-02	BAX,BCL2L11,MAP3K5,TP53	 
zinc chloride	chemical reagent	1.79E-02	B3GNT6,BAX,BCL2,ST3GAL1	 
triamcinolone acetonide	chemical drug	1.88E-02	AP3S1,B3GNT6,B4GALNT1,BAX,BCL2,BCL2L11,DDIT3,FKBP5,FUT4,PDIA5,PKD2,ST3GAL5,ST8SIA4,TBC1D1,TRIM21,UGT8	 
3-methyladenine	chemical toxicant	1.92E-02	AGR2,BAX,BCL2,BECN1,HSP90B1,HSPA5,TP53	 
luteolin	chemical drug	1.92E-02	AKT1,BAX,BCL2,IGF1R,IRS1,TNFRSF10B,TP53	 
desmopressin	biologic drug	1.92E-02	ARFGEF2,HSPA1A/HSPA1B,HSPA8,HSPH1,PPIA,PSMD11,SEC22B,SEC61B,STX7	 
RBM5	other	1.93E-02	BCL2,HSP90AA1,NCOA3,RAB1A,SERPINH1,UBA1	 
U73122	chemical reagent	1.93E-02	ATF4,ATP2A2,DPM3,HSPA5,ITPR2,XBP1	 
SIRT3	enzyme	1.96E-02	ATG5,BAX,BCL2,BECN1,DDIT3,HSPA5,TP53,XBP1	 
CCND1	transcription regulator	1.98E-02	ARHGEF2,ASAP2,BCL2,CLPB,GALNT11,HSPA1A/HSPA1B,HSPA8,HSPB1,HSPB8,JKAMP,KIF20A,MAP3K5,NCOA3,RAB3B,SEC22A,SEC61B,ST6GALNAC1,ST6GALNAC5,SVIP,TP53,TRAPPC2,USE1,VPS54	 
STAT4 DIMER (complex)	complex	1.99E-02	ARF1,HSPA9,PPIA,PSME2,TCP1	 
cyclopropanecarboxylic acid	chemical reagent	1.99E-02	BAX,DDIT3,HSPA5,P4HB,TP53	 
PRKAR1A	kinase	1.99E-02	BAK1,BAX,BCL2,RAB25,TUSC3	 
